date,description,type,amount,balance
01-04-2025,SERVICES--SALARY,unknown,35000.0,40149.89
01-04-2025,,credit,36.0,40185.89
01-04-2025,D034001BF1E77F65683D7AC/0,credit,48.0,40233.89
01-04-2025,AD72B9691B946071/01/04/2025,debit,96.0,40137.89
01-04-2025,7A314790AD/01/04/2025,debit,20.0,40117.89
01-04-2025,,debit,20.0,40097.89
01-04-2025,BDE54E62733C0A6B/01/04/202,debit,100.0,39997.89
01-04-2025,277D9BCC53634396B0E0FDA0,debit,45.0,39952.89
02-04-2025,28C4CBC85/02/04/2025,debit,20.0,39932.89
02-04-2025,0FAECB402B67/02/04/2025,debit,300.0,39632.89
02-04-2025,C389DE6441F6457/02/04/2025,debit,50.0,39582.89
02-04-2025,,credit,100.0,39682.89
02-04-2025,//YBLD1189F24B1014507A765C,credit,180.0,39862.89
02-04-2025,E8C0B4A11AEFC5A/02/04/2025,debit,160.0,39702.89
02-04-2025,DD30A88B457DA3F/02/04/2025,debit,100.0,39602.89
02-04-2025,EAA1F79F9D41646/02/04/2025,debit,50.0,39552.89
02-04-2025,BF660037D6CF3994/02/04/2025,debit,48.0,39504.89
02-04-2025,B8814E2AF1816D0/02/04/2025,debit,24.0,39480.89
02-04-2025,,debit,35000.0,4480.89
03-04-2025,6B037E88CC/03/04/2025,debit,40.0,4440.89
03-04-2025,A1FE811A56D2D98/03/04/2025,debit,20.0,4420.89
04-04-2025,16A421C497/04/04/2025,debit,65.0,4355.89
04-04-2025,EBC37F20AB/04/04/2025,credit,35.0,4390.89
04-04-2025,,debit,100.0,4290.89
04-04-2025,,credit,50.0,4340.89
04-04-2025,7BFE4946BBF1C675CC0E44E7/,debit,20.0,4320.89
04-04-2025,E60144CE8C/04/04/2025,debit,20.0,4300.89
05-04-2025,EB796E90DF69A8C/05/04/2025,debit,30.0,4270.89
06-04-2025,,debit,150.0,4120.89
07-04-2025,A33306749016C/07/04/2025,debit,60.0,4060.89
07-04-2025,259FC80CCEC4643/07/04/2025,debit,120.0,3940.89
08-04-2025,BC2A6F7C3E2/08/04/2025,debit,50.0,3890.89
08-04-2025,DADC973871FF429/08/04/2025,debit,42.0,3848.89
08-04-2025,A6F90A235521FCD7/08/04/2025,debit,12.0,3836.89
08-04-2025,9E2CC0155695260A/08/04/2025,debit,477.0,3359.89
08-04-2025,,debit,190.0,3169.89
08-04-2025,DB3510162A55/08/04/2025,debit,100.0,3069.89
09-04-2025,C31863D8141DD8182BD/09/04/,debit,50.0,3019.89
10-04-2025,0C5BE8D9FB1/10/04/2025,debit,10.0,3009.89
11-04-2025,,debit,30.0,2979.89
11-04-2025,,debit,24.0,2955.89
12-04-2025,71F2A268C5AD8A/12/04/2025,debit,50.0,2905.89
12-04-2025,,debit,74.0,2831.89
12-04-2025,F974840E7989/12/04/2025,debit,10.0,2821.89
13-04-2025,6CD3BD7C67/13/04/2025,debit,20.0,2801.89
13-04-2025,FF4C8DA5BE0B311D106DA6/13,debit,100.0,2701.89
13-04-2025,C424C99802BF03E8864CD00/1,credit,110.0,2811.89
13-04-2025,,debit,200.0,2611.89
13-04-2025,,debit,50.0,2561.89
13-04-2025,,debit,40.0,2521.89
14-04-2025,C146DCB2DB27C09BEEBC7A/1,debit,10.0,2511.89
14-04-2025,,debit,72.0,2439.89
14-04-2025,//YBL9B1C58D7D4DD4350BBAB,credit,36.0,2475.89
14-04-2025,A61542CC9BC26B0C9FCBCDF,debit,50.0,2425.89
14-04-2025,B0208DC1D8/14/04/2025,debit,84.0,2341.89
14-04-2025,//YBLFB2B010DD1AC449CBEE8,credit,84.0,2425.89
15-04-2025,,credit,45.0,2470.89
15-04-2025,A750CA387C527/15/04/2025,credit,20.0,2490.89
15-04-2025,,debit,100.0,2390.89
15-04-2025,,credit,100.0,2490.89
15-04-2025,94FDE860708DC5D2FA7E2/15/,debit,100.0,2390.89
15-04-2025,,credit,100.0,2490.89
